File: CAP_3_00_01_05_06_20.bin  (131072 bytes, 131072 samples)

   Index   Dec   Hex         Bin
     726    71    47  01000111
     727    71    47  01000111
     728    71    47  01000111
     729    71    47  01000111
     730    70    46  01000110
     731    71    47  01000111
     732    71    47  01000111
     733    71    47  01000111
     734    71    47  01000111
     735    71    47  01000111
     736    71    47  01000111
     737    71    47  01000111
     738    71    47  01000111
     739    71    47  01000111
     740    71    47  01000111
     741    71    47  01000111
     742    71    47  01000111
     743    71    47  01000111
     744    71    47  01000111
     745    71    47  01000111
     746    70    46  01000110
     747    71    47  01000111
     748    71    47  01000111
     749    71    47  01000111
     750    71    47  01000111
     751    71    47  01000111
     752    71    47  01000111
     753    71    47  01000111
     754    70    46  01000110
     755    71    47  01000111
     756    71    47  01000111
     757    70    46  01000110
     758    71    47  01000111
     759    71    47  01000111
     760    71    47  01000111
     761    71    47  01000111
     762    70    46  01000110
     763    71    47  01000111
     764    71    47  01000111
     765    71    47  01000111
     766    71    47  01000111
     767    71    47  01000111
     768    71    47  01000111
     769    71    47  01000111
     770    71    47  01000111
     771    71    47  01000111
     772    71    47  01000111
     773    71    47  01000111
     774    71    47  01000111
     775    71    47  01000111
     776    71    47  01000111
     777    71    47  01000111
     778    70    46  01000110
     779    71    47  01000111
     780    71    47  01000111
     781    71    47  01000111
     782    71    47  01000111
     783    71    47  01000111
     784    71    47  01000111
     785    71    47  01000111
     786    70    46  01000110
     787    71    47  01000111
     788    71    47  01000111
     789    71    47  01000111
     790    71    47  01000111
     791    71    47  01000111
     792    71    47  01000111
     793    71    47  01000111
     794    71    47  01000111
     795    71    47  01000111
     796    71    47  01000111
     797    71    47  01000111
     798    71    47  01000111
     799    71    47  01000111
     800    71    47  01000111
     801    71    47  01000111
     802    70    46  01000110
     803    71    47  01000111
     804    71    47  01000111
     805    71    47  01000111
     806    71    47  01000111
     807    71    47  01000111
     808    71    47  01000111
     809    71    47  01000111
     810    70    46  01000110
     811    71    47  01000111
     812    71    47  01000111
     813    71    47  01000111
     814    71    47  01000111
     815    71    47  01000111
     816    71    47  01000111
     817    70    46  01000110
     818    70    46  01000110
     819    71    47  01000111
     820    71    47  01000111
     821    71    47  01000111
     822    71    47  01000111
     823    71    47  01000111
     824    71    47  01000111
     825    71    47  01000111
     826    70    46  01000110
     827    71    47  01000111
     828    71    47  01000111
     829    71    47  01000111
     830    71    47  01000111
     831    71    47  01000111
     832    71    47  01000111
     833    71    47  01000111
     834    71    47  01000111
     835    71    47  01000111
     836    71    47  01000111
     837    71    47  01000111
     838    71    47  01000111
     839    71    47  01000111
     840    71    47  01000111
     841    71    47  01000111
     842    70    46  01000110
     843    71    47  01000111
     844    71    47  01000111
     845    71    47  01000111
     846    70    46  01000110
     847    71    47  01000111
     848    71    47  01000111
     849    70    46  01000110
     850    70    46  01000110
     851    71    47  01000111
     852    71    47  01000111
     853    71    47  01000111
     854    71    47  01000111
     855    71    47  01000111
     856    71    47  01000111
     857    70    46  01000110
     858    70    46  01000110
     859    71    47  01000111
     860    71    47  01000111
     861    71    47  01000111
     862    71    47  01000111
     863    71    47  01000111
     864    71    47  01000111
     865    70    46  01000110
     866    70    46  01000110
     867    71    47  01000111
     868    71    47  01000111
     869    71    47  01000111
     870    71    47  01000111
     871    71    47  01000111
     872    71    47  01000111
     873    71    47  01000111
     874    70    46  01000110
     875    71    47  01000111
     876    71    47  01000111
     877    71    47  01000111
     878    71    47  01000111
     879    71    47  01000111
     880    71    47  01000111
     881    71    47  01000111
     882    70    46  01000110
     883    71    47  01000111
     884    71    47  01000111
     885    71    47  01000111
     886    71    47  01000111
     887    71    47  01000111
     888    71    47  01000111
     889    70    46  01000110
     890    71    47  01000111
     891    71    47  01000111
     892    71    47  01000111
     893    71    47  01000111
     894    71    47  01000111
     895    71    47  01000111
     896    71    47  01000111
     897    71    47  01000111
     898    71    47  01000111
     899    71    47  01000111
     900    71    47  01000111
     901    71    47  01000111
     902    71    47  01000111
     903    71    47  01000111
     904    71    47  01000111
     905    71    47  01000111
     906    70    46  01000110
     907    71    47  01000111
     908    71    47  01000111
     909    71    47  01000111
     910    71    47  01000111
     911    71    47  01000111
     912    71    47  01000111
     913    71    47  01000111
     914    71    47  01000111
     915    71    47  01000111
     916    71    47  01000111
     917    71    47  01000111
     918    71    47  01000111
     919    70    46  01000110
     920    71    47  01000111
     921    71    47  01000111
     922    70    46  01000110
     923    71    47  01000111
     924    71    47  01000111
     925    71    47  01000111
     926    70    46  01000110
     927    71    47  01000111
     928    71    47  01000111
     929    70    46  01000110
     930    70    46  01000110
     931    71    47  01000111
     932    71    47  01000111
     933    71    47  01000111
     934    71    47  01000111
     935    71    47  01000111
     936    71    47  01000111
     937    71    47  01000111
     938    70    46  01000110
     939    71    47  01000111
     940    71    47  01000111
     941    70    46  01000110
     942    71    47  01000111
     943    71    47  01000111
     944    71    47  01000111
     945    70    46  01000110
     946    71    47  01000111
     947    71    47  01000111
     948    71    47  01000111
     949    71    47  01000111
     950    71    47  01000111
     951    71    47  01000111
     952    71    47  01000111
     953    71    47  01000111
     954    70    46  01000110
     955    71    47  01000111
     956    71    47  01000111
     957    71    47  01000111
     958    71    47  01000111
     959    71    47  01000111
     960    71    47  01000111
     961    71    47  01000111
     962    70    46  01000110
     963    71    47  01000111
     964    71    47  01000111
     965    71    47  01000111
     966    71    47  01000111
     967    71    47  01000111
     968    71    47  01000111
     969    71    47  01000111
     970    70    46  01000110
     971    71    47  01000111
     972    71    47  01000111
     973    71    47  01000111
     974    70    46  01000110
     975    71    47  01000111
     976    71    47  01000111
     977    71    47  01000111
     978    70    46  01000110
     979    71    47  01000111
     980    71    47  01000111
     981    71    47  01000111
     982    71    47  01000111
     983    71    47  01000111
     984    71    47  01000111
     985    71    47  01000111
     986    71    47  01000111
     987    71    47  01000111
     988    71    47  01000111
     989    71    47  01000111
     990    71    47  01000111
     991    71    47  01000111
     992    71    47  01000111
     993    71    47  01000111
     994    70    46  01000110
     995    71    47  01000111
     996    71    47  01000111
     997    71    47  01000111
     998    71    47  01000111
     999    71    47  01000111
    1000    71    47  01000111
    1001    71    47  01000111
    1002    70    46  01000110
    1003    71    47  01000111
    1004    71    47  01000111
    1005    71    47  01000111
    1006    71    47  01000111
    1007    71    47  01000111
